SCORPION MAX V1,,,,,,,,,,LCSC BOM Quotation,,,,,,,,,,,,,,,
,,,,,,,,,,BOM Date Created：11/01/26 03:50:32,,,,BOM Export Date: 12/01/26 06:11:32,,,,"The matching result is a real-time query result, availability and prices may fluctuate.  
Backorder items are estimated prices for your reference, please submit ""Create Quote"" to get the real price.
All information is provided ""as is"" and is subject to change without notice.  Any use made of the information provided is without recourse to LCSC and at the user's risk.",,,,,,,
,,,,,,,,,,"EST TOTAL :$156.41
",,,,Website：https://www.lcsc.com/bom,,,,,,,,,,,
Uploaded data,,,,,,,,,,LCSC Matching Results,,,,,,,,,,,,,,,
LCSC#,Mfr.,Mrf#,Description,Package,Value,Customer Part Number,Quantity,Target Price(EUR),Target Lead Time(Business Days),Mrf#,Mfr.,Order Qty.,Unit Price(EUR),Ext.Price(EUR),LCSC#,Package,Min,Mult,SPQ,Availability,Stock Status,Customer Notes,Description,Matched status,Product Link
,,,,,,33,10,,,B3B-XH-A(LF)(SN),JST,10,0.0414,0.41,C144394,"Through Hole,P=2.5mm",10,10,1000,176710,In Stock,,Connector Header 3 position 2.5mm Pitch 3A Through Hole -25℃~+85℃,Exact Matches,https://www.lcsc.com/product-detail/C144394.html
,,,,,,38,20,,,B4B-XH-A(LF)(SN),JST,20,0.0449,0.90,C144395,"Through Hole,P=2.5mm",10,10,500,182050,In Stock,,Connector Header 4 position 2.5mm Pitch 3A Through Hole -25℃~+85℃,Exact Matches,https://www.lcsc.com/product-detail/C144395.html
,,,,,,63,40,,,FBF06FTPR120-00L,PSA,40,0.0205,0.82,C382272,1206,20,20,5000,320,In Stock,,120mΩ ±1% 750mW,Exact Matches,https://www.lcsc.com/product-detail/C382272.html
,,,,,,4,2,,,593D227X0010E2TE3,VISHAY,2,0.4228,0.85,C1952898,CASE-E-7343-43(mm),1,1,400,41,In Stock,,220uF ±20% 10V Tantalum Capacitors 100mΩ 2917,Exact Matches,https://www.lcsc.com/product-detail/C1952898.html
,,,,,,3,5,,,VJ0805Y474KXQTW1BC,VISHAY,5,0.0519,0.26,C2177586,0805,5,5,3000,35,In Stock,,470nF ±10% 10V Ceramic Capacitor X7R 0805,Exact Matches,https://www.lcsc.com/product-detail/C2177586.html
,,,,,,5,3,,,VJ1210Y474KXBAT,VISHAY,3,0.4224,1.27,C2313088,1210,1,1,2000,24,In Stock,,470nF ±10% 100V Ceramic Capacitor X7R 1210,Exact Matches,https://www.lcsc.com/product-detail/C2313088.html
,,,,,,6,5,,,C3225X7S2A475KT003S,TDK,5,0.4065,2.03,C694475,1210,1,1,1000,525,In Stock,,100V 4.7uF X7S ±10% 1210 Ceramic Capacitors RoHS,Exact Matches,https://www.lcsc.com/product-detail/C694475.html
,,,,,,7,5,,,C1608X5R1C225KT000N,TDK,5,0.0310,0.16,C76612,0603,5,5,4000,2490,In Stock,,2.2uF ±10% 16V Ceramic Capacitor X5R 0603,Exact Matches,https://www.lcsc.com/product-detail/C76612.html
,,,,,,9,5,,,EEEFK1J100P,PANASONIC,5,0.1279,0.64,C128459,"SMD,D6.3xL5.8mm",5,5,1000,6980,In Stock,,10uF ±20% 63V Aluminum Electrolytic Capacitors 2000hrs@105℃,Exact Matches,https://www.lcsc.com/product-detail/C128459.html
,,,,,,10,100,,,CC0603KRX7R9BB103,YAGEO,100,0.0020,0.20,C100042,0603,100,100,4000,7339600,In Stock,,10nF ±10% 50V Ceramic Capacitor X7R 0603,Exact Matches,https://www.lcsc.com/product-detail/C100042.html
,,,,,,1,200,,,CC0603KRX7R9BB104,YAGEO,200,0.0019,0.38,C14663,0603,100,100,4000,23529600,In Stock,,100nF ±10% 50V Ceramic Capacitor X7R 0603,Exact Matches,https://www.lcsc.com/product-detail/C14663.html
,,,,,,13,50,,,CL10A105KB8NNNC,Samsung Electro-Mechanics,50,0.0046,0.23,C15849,0603,50,50,4000,8315200,In Stock,,1uF ±10% 50V Ceramic Capacitor X5R 0603,Exact Matches,https://www.lcsc.com/product-detail/C15849.html
,,,,,,12,100,,,CC0603KRX7R9BB223,YAGEO,100,0.0027,0.27,C106222,0603,100,100,4000,1160800,In Stock,,22nF ±10% 50V Ceramic Capacitor X7R 0603,Exact Matches,https://www.lcsc.com/product-detail/C106222.html
,,,,,,14,50,,,CL10C080DB81PNC,Samsung Electro-Mechanics,50,0.0087,0.44,C346204,0603,50,50,4000,10650,In Stock,,8pF 50V Ceramic Capacitor C0G 0603,Exact Matches,https://www.lcsc.com/product-detail/C346204.html
,,,,,,2,50,,,CL21A475KBQNNNE,Samsung Electro-Mechanics,50,0.0172,0.86,C98192,0805,10,10,2000,3008340,In Stock,,4.7uF ±10% 50V Ceramic Capacitor X5R 0805,Exact Matches,https://www.lcsc.com/product-detail/C98192.html
,,,,,,37,50,,,PH2.54-1X2P-H25,JXTCONN,50,0.0052,0.26,C42431798,"Through Hole,P=2.54mm",50,50,2000,57250,In Stock,,Pin Header 2 Position 2.54mm Pitch Single Row Through Hole -40℃~+105℃,Exact Matches,https://www.lcsc.com/product-detail/C42431798.html
,,,,,,11,50,,,CC0603KRX7R9BB474,YAGEO,50,0.0076,0.38,C513577,0603,50,50,4000,693950,In Stock,,470nF ±10% 50V Ceramic Capacitor X7R 0603,Exact Matches,https://www.lcsc.com/product-detail/C513577.html
,,,,,,15,50,,,CL10A225KB8NNNC,Samsung Electro-Mechanics,50,0.0187,0.94,C913904,0603,10,10,4000,322070,In Stock,,2.2uF ±10% 50V Ceramic Capacitor X5R 0603,Exact Matches,https://www.lcsc.com/product-detail/C913904.html
,,,,,,35,5,,,DIN-422,HOOYA,5,0.2494,1.25,C2939341,Through Hole,5,5,100,0,Backordered,,6.5A -25℃~+85℃ Through Hole Circular Connector Assemblies RoHS,Exact Matches,https://www.lcsc.com/product-detail/C2939341.html
,,,,,,57,100,,,RC0603FR-07100RL,YAGEO,100,0.0012,0.12,C105588,0603,100,100,5000,1118300,In Stock,,100mW 100Ω 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,Exact Matches,https://www.lcsc.com/product-detail/C105588.html
,,,,,,50,100,,,RC0603FR-07120RL,YAGEO,100,0.0013,0.13,C114640,0603,100,100,5000,76300,In Stock,,100mW 120Ω 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,Exact Matches,https://www.lcsc.com/product-detail/C114640.html
,,,,,,62,100,,,RC0603FR-0710RL,YAGEO,100,0.0028,0.28,C109318,0603,100,100,5000,687500,In Stock,,100mW 10Ω 75V Thick Film Resistor ±1% ±200ppm/℃ 0603 Chip Resistor - Surface Mount RoHS,Exact Matches,https://www.lcsc.com/product-detail/C109318.html
,,,,,,58,100,,,RC0805FR-0710RL,YAGEO,100,0.0047,0.47,C96347,0805,100,100,5000,101000,In Stock,,10Ω 125mW 150V Thick Film Resistor ±1% ±200ppm/℃ 0805 Chip Resistor - Surface Mount RoHS,Exact Matches,https://www.lcsc.com/product-detail/C96347.html
,,,,,,51,100,,,RC0603FR-07470RL,YAGEO,100,0.0013,0.13,C114669,0603,100,100,5000,235200,In Stock,,100mW 470Ω 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,Exact Matches,https://www.lcsc.com/product-detail/C114669.html
,,,,,,48,100,,,RC0603FR-07620RL,YAGEO,100,0.0012,0.12,C137695,0603,100,100,5000,145200,In Stock,,620Ω 100mW 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,Exact Matches,https://www.lcsc.com/product-detail/C137695.html
,,,,,,55,100,,,RC0603FR-071KL,YAGEO,100,0.0012,0.12,C22548,0603,100,100,5000,2322600,In Stock,,100mW 1kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,Exact Matches,https://www.lcsc.com/product-detail/C22548.html
